key,English
foodGraceCornOnTheCobTVG,"Super Corn Cob"
foodGraceCornOnTheCobTVGDesc,"Super Corn on the Cob!"
foodGraceCornOnTheCobTVGSchematic,"Super Corn Cob Schematic"
foodGraceCornMealTVG,"Super Corn Meal"
foodGraceCornMealTVGDesc,"Corn Meal with a special kick!"
foodGraceCornMealTVGSchematic,"Super Corn Meal Schematic"
foodGraceCornBreadTVG,"Super Corn Bread"
foodGraceCornBreadTVGDesc,"Super Corn Bread is extra fluffy!"
foodGraceCornBreadTVGSchematic,"Super Corn Bread Schematic"
foodGraceShamSandwichTVG,"Super Sham Sandwich"
foodGraceShamSandwichTVGDesc,"Super Corn infused Sham Sandwich!"
foodGraceShamSandwichTVGSchematic,"Super Sham Sandwich Schematic"
foodGraceMeatTVG,"Grace Meat"
foodGraceMeatTVGDesc,"Meat from Grace"
foodGraceGrilledMeatTVG,"Grace Grilled Meat"
foodGraceGrilledMeatTVGDesc,"Grilled Meat from Grace"
foodGraceGrilledMeatTVGSchematic,"Grace Grilled Meat Schematic"
foodGraceStewTVG,"Grace Stew"
foodGraceStewTVGDesc,"Stew from Grace"
foodGraceStewTVGSchematic,"Grace Stew Schematic"
foodRektsRaisinSackTVG,"Rekt's Raisin Sack"
foodRektsRaisinSackTVGDesc,"A sack full of Rekt's dried up Raisins.  Put them in your mouth and enjoy @$$hole!"
foodRektsRaisinSackTVGSchematic,"Rekt's Raisin Sack Schematic"
foodJensSuperTacoTVG,"Jen's Super Taco"
foodJensSuperTacoTVGDesc,"Jen's Super Taco is extra wet and super fun to eat!"
foodJensSuperTacoTVGSchematic,"Jen's Super Taco Schematic"
foodBobsBurgerTVG,"Bob's Burger"
foodBobsBurgerTVGDesc,"Who doens't love Bob's Burger?!  Today's menu features a deconstructed, open face burger as a reminder that the world has fallen apart!"
foodBobsBurgerTVGSchematic,"Bob's Burger Schematic"
foodHughsWeinerTVG,"Hugh's Weiner"
foodHughsWeinerTVGDesc,"I never knew how much I loved Hugh's Weiner!!"
foodHughsWeinerTVGSchematic,"Hugh's Weiner Schematic"
foodJoelsJumboGumboTVG,"Joel's Jumbo Gumbo"
foodJoelsJumboGumboTVGDesc,"Waste not want not, that's why my grand mammy used to say!  This gumbo has everything AND the kitchen sink!"
foodJoelsJumboGumboTVGSchematic,"Joel's Jumbo Gumbo Schematic"
challengeFoodRektTVG,"Eat Rekt's Raisins"
challengeFoodRektTVGShort,"Craft and eat Rekt's Raisins"
challengeFoodRektTVGDesc,"Using Rekt's secret recipe, craft and eat his raisin sack."
challengeFoodRektTVGReward,"1 Skill Point & 1000 XP."
challengeFoodJenTVG,"Eat Jens's Super Taco"
challengeFoodJenTVGShort,"Craft and eat Jens's Super Taco"
challengeFoodJenTVGDesc,"Using Jens's secret recipe, craft and eat her Super Taco."
challengeFoodJenTVGReward,"2 Skill Points & 2000 XP"
challengeFoodBobTVG,"Eat Bob's Burger"
challengeFoodBobTVGShort,"Craft and eat Bob's Burger"
challengeFoodBobTVGDesc,"Using Bob's secret recipe, craft and eat his burger."
challengeFoodBobTVGReward,"2 Skill Points & 2000 XP"
challengeFoodHughTVG,"Eat Hugh's Weiner"
challengeFoodHughTVGShort,"Craft and eat Hugh's Weiner"
challengeFoodHughTVGDesc,"Using Hugh's secret recipe, craft and eat his weiner."
challengeFoodHughTVGReward,"2 Skill Points & 2000 XP"
challengeFoodJoelTVG,"Eat Joel's Jumbo Gumbo"
challengeFoodJoelTVGShort,"Craft and eat Joel's Jumbo Gumbo"
challengeFoodJoelTVGDesc,"Using Joel's secret recipe, craft and eat his jumbo gumbo."
challengeFoodJoelTVGReward,"2 Skill Points & 2000 XP"
quest_tvg_foodie_rekt_super_corn,"Super Corn!"
quest_tvg_foodie_rekt_super_corn_subtitle,"Investigate Super Corn Rumors"
quest_tvg_foodie_rekt_super_corn_description,"There are rumors of a power crop known as Super Corn.  Find any information you can and bring it to the Traders."
quest_tvg_foodie_rekt_super_corn_offer,"Survivor,\nAt long last, you look like someone that can handle this special job!  I heard a rumor that some folks were trying to create some sort of Super Corn.  I need you to track down any notes you can find about this plant!"
quest_tvg_foodie_rekt_super_corn_statement,"Mysterious Super Corn Crops"
quest_tvg_foodie_rekt_super_corn_response,"Super Corn - Investigate"
quest_tvg_foodie_rekt_super_corn_completion,"Well I'll be damned!  This is incredible!  I wonder what kind of secrets this super crop holds!!  Come back later to learn more."
quest_tvg_foodie_rekt,"Rekt's Raisins!"
quest_tvg_foodie_rekt_subtitle,"Enjoy Rekt's Raisins"
quest_tvg_foodie_rekt_description,"Eat Rekt's Raisins"
quest_tvg_foodie_rekt_offer,"Survivor,\nAt long last, you look like someone that can handle this special job!  I heard a rumor that some folks were trying to create some sort of Super Corn.  I need you to track down any notes you can find about this plant!"
quest_tvg_foodie_rekt_statement,"Enjoy all-you-can-eat Rekt's Raisins"
quest_tvg_foodie_rekt_response,"Super Corn - Rekt's Raisins"
quest_tvg_foodie_rekt_completion,"Well I'll be damned!  You actually found my rasins!"
quest_tvg_foodie_jen_super_corn_meal,"Super Corn Meal!"
quest_tvg_foodie_jen_super_corn_meal_subtitle,"Recover Super Corn Meal Recipe"
quest_tvg_foodie_jen_super_corn_meal_description,"Recover the recipe for Super Corn Meal."
quest_tvg_foodie_jen_super_corn_meal_offer,"Survivor,\nI finally uncovered how to make Super Corn Meal from Super Corn, but I was so excited I didn't see the zombie horde approaching.  Before I knew it, they were everywhere and I had to leave the research behind.  Please recover it and I'll give you a special reward!"
quest_tvg_foodie_jen_super_corn_meal_statement,"Recover Jen's Recipe"
quest_tvg_foodie_jen_super_corn_meal_response,"Super Corn Meal Recipe"
quest_tvg_foodie_jen_super_corn_meal_completion,"You did it!  Come back soon for a special reward!"
quest_tvg_foodie_jen,"Jen's Super Taco!"
quest_tvg_foodie_jen_subtitle,"Enjoy Jen's Super Taco"
quest_tvg_foodie_jen_description,"Eat Jen's Super Taco"
quest_tvg_foodie_jen_offer,"Survivor,\nAt long last, I'm ready to share my Super Taco with the world!  Please enjoy, it's all you can eat!"
quest_tvg_foodie_jen_statement,"Enjoy all-you-can-eat Jen's Super Taco"
quest_tvg_foodie_jen_response,"Super Corn - Jen's Super Taco"
quest_tvg_foodie_jen_completion,"Well I'll be damned!  Jen's Super Taco sure is delicious!"
quest_tvg_foodie_bob,"Bob's Burger!"
quest_tvg_foodie_bob_subtitle,"Enjoy Jen's Super Taco"
quest_tvg_foodie_bob_description,"Eat Jen's Super Taco"
quest_tvg_foodie_bob_offer,"Survivor,\nAt long last, I'm ready to share my Super Taco with the world!  Please enjoy, it's all you can eat!"
quest_tvg_foodie_bob_statement,"Enjoy all-you-can-eat Jen's Super Taco"
quest_tvg_foodie_bob_response,"Super Corn - Bob's Burger"
quest_tvg_foodie_bob_completion,"Well I'll be damned!  Jen's Super Taco sure is delicious!"
quest_tvg_foodie_hugh,"Hugh's Weiner!"
quest_tvg_foodie_hugh_subtitle,"Enjoy Jen's Super Taco"
quest_tvg_foodie_hugh_description,"Eat Jen's Super Taco"
quest_tvg_foodie_hugh_offer,"Survivor,\nAt long last, I'm ready to share my Super Taco with the world!  Please enjoy, it's all you can eat!"
quest_tvg_foodie_hugh_statement,"Enjoy all-you-can-eat Jen's Super Taco"
quest_tvg_foodie_hugh_response,"Super Corn - Hugh's Weiner"
quest_tvg_foodie_hugh_completion,"Well I'll be damned!  Jen's Super Taco sure is delicious!"
quest_tvg_foodie_joel,"Joel's Jumbo Gumbo!"
quest_tvg_foodie_joel_subtitle,"Enjoy Jen's Super Taco"
quest_tvg_foodie_joel_description,"Eat Jen's Super Taco"
quest_tvg_foodie_joel_offer,"Survivor,\nAt long last, I'm ready to share my Super Taco with the world!  Please enjoy, it's all you can eat!"
quest_tvg_foodie_joel_statement,"Enjoy all-you-can-eat Jen's Super Taco"
quest_tvg_foodie_joel_response,"Super Corn - Joel's Jumbo Gumbo"
quest_tvg_foodie_joel_completion,"Well I'll be damned!  Jen's Super Taco sure is delicious!"
challengeCraftBedrollTVG,"Craft Bedroll"
challengeCraftBedrollShortTVG,"Craft a Bedroll"
challengeCraftBedrollDescTVG,"Craft a Bedroll using plant fibers."
